id,city,country,latitude,longitude,timestamp,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,visibility,cloud_cover,weather_main,weather_description,sunrise,sunset,created_at
1,New York,US,40.7127281,-74.0060152,2025-09-08 08:28:23,17.69,17.21,65,1022.0,5.14,10,10000,75,Clouds,broken clouds,2025-09-08 13:30:12,2025-09-09 02:17:25,2025-09-08 05:32:08
2,London,GB,51.5073219,-0.1276474,2025-09-08 08:20:07,13.97,13.75,89,1014.0,3.13,169,10000,0,Clear,clear sky,2025-09-08 08:24:29,2025-09-08 21:32:14,2025-09-08 05:32:10
3,Tokyo,JP,35.6828387,139.7594549,2025-09-08 08:32:12,35.51,42.51,57,1007.0,3.09,150,10000,20,Clouds,few clouds,2025-09-07 23:18:11,2025-09-08 11:59:44,2025-09-08 05:32:12
4,Paris,FR,48.8588897,2.3200410217200766,2025-09-08 08:25:34,17.71,17.81,87,1017.0,4.12,290,10000,75,Clouds,broken clouds,2025-09-08 08:17:34,2025-09-08 21:19:36,2025-09-08 05:32:13
5,Sydney,AU,-33.8698439,151.2082848,2025-09-08 08:32:16,27.68,27.46,41,1014.0,7.72,320,10000,0,Clear,clear sky,2025-09-07 23:04:44,2025-09-08 10:41:36,2025-09-08 05:32:15
